country,year,indicator,value,country_name,indicator_code,description,unit,frequency,transformation,source,retrieved_at
CHN,2003,EXPORTS_PERCENT_GDP,26.6023738514511,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2004,EXPORTS_PERCENT_GDP,30.6097162464404,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2005,EXPORTS_PERCENT_GDP,33.3687977498922,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2006,EXPORTS_PERCENT_GDP,35.5268468681701,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2007,EXPORTS_PERCENT_GDP,34.9066956194649,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2008,EXPORTS_PERCENT_GDP,32.092513602143,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2009,EXPORTS_PERCENT_GDP,24.3307718125403,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2010,EXPORTS_PERCENT_GDP,26.7227451502469,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2011,EXPORTS_PERCENT_GDP,26.1518828948759,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2012,EXPORTS_PERCENT_GDP,25.07670432956,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2013,EXPORTS_PERCENT_GDP,24.1633430905854,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2014,EXPORTS_PERCENT_GDP,23.0719766947263,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2015,EXPORTS_PERCENT_GDP,20.9390642234326,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2016,EXPORTS_PERCENT_GDP,19.2036507365412,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2017,EXPORTS_PERCENT_GDP,19.3356301657728,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2018,EXPORTS_PERCENT_GDP,18.770519802938,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2019,EXPORTS_PERCENT_GDP,18.0557069597496,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2020,EXPORTS_PERCENT_GDP,18.2035821684822,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
